title,youtube_id,description,category,difficulty,duration,thumbnail_url
Learn Nepali for Beginners,Nm0W1agKgZA,Complete beginner course for learning Nepali language,beginner,1,1800,
Nepali Alphabet Song,kELr4Kja3CA,Learn Devanagari letters through song,alphabet,1,300,
Basic Nepali Greetings,BhQvDx-z0JQ,Essential greetings and introductions in Nepali,greetings,1,600,
Nepali Numbers 1-10,o8lQDWLD5iM,Learn to count from 1 to 10 in Nepali,numbers,1,420,
Everyday Nepali Phrases,sYrAdwuxIxM,Common phrases for daily conversation,conversation,1,900,
Nepali Pronunciation Guide,Y-4OgC1kHsQ,Master correct Nepali pronunciation,beginner,2,1200,
Learn Nepali with Pictures,mFt67dhmGvE,Visual learning approach for Nepali vocabulary,beginner,1,1500,
Nepali for Travelers,CgIKJD-qCTU,Essential phrases for visiting Nepal,travel,1,1200,
Nepali Family Vocabulary,FxJMHc71QME,Learn family member names in Nepali,family,1,600,
Nepali Food Words,QX8bKmCRgWE,Restaurant and food vocabulary,food,1,840,
